file,name,DIST_CODE,VIL_CODE,QRTR_CODE,QRTR_NM_E,QRTR_NM_G,VIL_CCD,QRTR_CCD,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
LEFKOSIA_LEFKOSIA_KARAMANZANTE.kml,"LEFKOSIA, LEFKOSIA KARAMANZANTE",1,0,28,KARAMANZANTE,ΚΑΡΑΜΑΝΖΑΝΤΕ,1000,100028,1,78,33.3575,35.1751,5600,
LEFKOSIA_LEFKOSIA_KA_MAKLI.kml,"LEFKOSIA, LEFKOSIA KAΪMAKLI",1,0,13,KAΪMAKLI,ΚΑΪΜΑΚΛΙ,1000,100013,1,1350,33.433,35.1798,53658,
LEFKOSIA_LEFKOSIA_MACHMOUT_PASA.kml,"LEFKOSIA, LEFKOSIA MACHMOUT PASA",1,0,21,MACHMOUT PASA,MAXMOYT ΠΑΣΑ,1000,100021,1,88,33.3592,35.1802,5978,
LEFKOSIA_LEFKOSIA_NEAPOLI.kml,"LEFKOSIA, LEFKOSIA NEAPOLI",1,0,29,NEAPOLI,ΝΕΑΠΟΛΗ,1000,100029,1,236,33.3629,35.1855,11548,
LEFKOSIA_LEFKOSIA_NEMPETCHANE.kml,"LEFKOSIA, LEFKOSIA NEMPETCHANE",1,0,3,NEMPETCHANE,ΝΕΜΠΕΤΧΑΝΕ,1000,100003,1,58,33.3603,35.1743,4841,
LEFKOSIA_LEFKOSIA_OMERIE.kml,"LEFKOSIA, LEFKOSIA OMERIE",1,0,7,OMERIE,ΟΜΕΡΙΕ,1000,100007,1,109,33.3654,35.1732,6741,
LEFKOSIA_LEFKOSIA_OMORFITA.kml,"LEFKOSIA, LEFKOSIA OMORFITA",1,0,19,OMORFITA,ΟΜΟΡΦΙΤΑ,1000,100019,1,421,33.3773,35.2023,18537,
LEFKOSIA_LEFKOSIA_PANAGIA.kml,"LEFKOSIA, LEFKOSIA PANAGIA",1,0,14,PANAGIA,ΠΑΝΑΓΙΑ,1000,100014,1,629,33.3979,35.1705,26402,
LEFKOSIA_LEFKOSIA_TAKTELKALE.kml,"LEFKOSIA, LEFKOSIA TAKTELKALE",1,0,10,TAKTELKALE,ΤΑΚΤΕΛΚΑΛΕ,1000,100010,1,224,33.3716,35.1748,11103,
LEFKOSIA_LEFKOSIA_TAMPAKCHANE.kml,"LEFKOSIA, LEFKOSIA TAMPAKCHANE",1,0,4,TAMPAKCHANE,ΤΑΜΠΑΚΧΑΝΕ,1000,100004,1,76,33.3595,35.1717,5520,
LEFKOSIA_LEFKOSIA_TRYPIOTIS.kml,"LEFKOSIA, LEFKOSIA TRYPIOTIS",1,0,2,TRYPIOTIS,ΤΡΥΠΙΩΤΗΣ,1000,100002,1,222,33.3597,35.1678,11019,
LEMESOS_LEMESOS_AGIA_FYLAXIS.kml,"LEMESOS, LEMESOS AGIA FYLAXIS",5,0,18,AGIA FYLAXIS,ΑΓΙΑ ΦΥΛΑΞΙΣ,5000,500018,1,633,33.0144,34.7183,26565,
LEMESOS_LEMESOS_AGIA_NAPA.kml,"LEMESOS, LEMESOS AGIA NAPA",5,0,4,AGIA NAPA,ΑΓΙΑ ΝΑΠΑ,5000,500004,1,164,33.0454,34.675,8829,
LEMESOS_LEMESOS_AGIA_TRIAS.kml,"LEMESOS, LEMESOS AGIA TRIAS",5,0,15,AGIA TRIAS,ΑΓΙΑ ΤΡΙΑΣ,5000,500015,1,138,33.0506,34.681,7854,
LEMESOS_LEMESOS_AGIA_ZONI.kml,"LEMESOS, LEMESOS AGIA ZONI",5,0,14,AGIA ZONI,ΑΓΙΑ ΖΩΝΗ,5000,500014,1,117,33.0455,34.684,7059,
LEMESOS_LEMESOS_AGIOS_ANTONIOS.kml,"LEMESOS, LEMESOS AGIOS ANTONIOS",5,0,1,AGIOS ANTONIOS,ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,5000,500001,1,535,33.0393,34.6681,22875,
LEMESOS_LEMESOS_AGIOS_GEORGIOS.kml,"LEMESOS, LEMESOS AGIOS GEORGIOS",5,0,10,AGIOS GEORGIOS,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,5000,500010,1,267,33.0214,34.6899,12753,
LEMESOS_LEMESOS_AGIOS_IOANNIS.kml,"LEMESOS, LEMESOS AGIOS IOANNIS",5,0,6,AGIOS IOANNIS,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,5000,500006,1,154,33.0267,34.6744,8468,
LEMESOS_LEMESOS_AGIOS_NEKTARIOS.kml,"LEMESOS, LEMESOS AGIOS NEKTARIOS",5,0,13,AGIOS NEKTARIOS,ΑΓΙΟΣ ΝΕΚΤΑΡΙΟΣ,5000,500013,1,124,33.0444,34.6905,7345,
LEMESOS_LEMESOS_AGIOS_NIKOLAOS.kml,"LEMESOS, LEMESOS AGIOS NIKOLAOS",5,0,17,AGIOS NIKOLAOS,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,5000,500017,1,187,33.057,34.6943,9732,
LEMESOS_LEMESOS_AGIOS_SPYRIDON.kml,"LEMESOS, LEMESOS AGIOS SPYRIDON",5,0,20,AGIOS SPYRIDON,ΑΓΙΟΣ ΣΠΥΡΙΔΩΝ,5000,500020,1,225,33.0033,34.6694,11171,
LEMESOS_LEMESOS_APOSTOLOS_ANDREAS.kml,"LEMESOS, LEMESOS APOSTOLOS ANDREAS",5,0,9,APOSTOLOS ANDREAS,ΑΠΟΣΤΟΛΟΣ ΑΝΔΡΕΑΣ,5000,500009,1,193,33.019,34.682,9949,
