file,name,DIST_CODE,VIL_CODE,VIL_CCD,VIL_NM_E,VIL_NM_G,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
KATO_MONI.kml,KATO MONI,1,326,1326,KATO MONI,ΚΑΤΩ ΜΟΝΗ,1,1220,33.0867,35.0604,48526,
KATO_MYLOS.kml,KATO MYLOS,5,362,5362,KATO MYLOS,ΚΑΤΩ ΜΥΛΟΣ,1,396,33.0017,34.8966,17396,
KATO_PLATRES.kml,KATO PLATRES,5,350,5350,KATO PLATRES,ΚΑΤΩ ΠΛΑΤΡΕΣ,1,727,32.8326,34.8798,29904,
KATO_PYRGOS.kml,KATO PYRGOS,1,457,1457,KATO PYRGOS,ΚΑΤΩ ΠΥΡΓΟΣ,1,1413,32.6799,35.1832,55821,
KATO_ZODEIA.kml,KATO ZODEIA,1,351,1351,KATO ZODEIA,ΚΑΤΩ ΖΩΔΕΙΑ,1,854,32.9861,35.1637,34666,
KATYDATA.kml,KATYDATA,1,416,1416,KATYDATA,ΚΑΤΥΔΑΤΑ,1,887,32.8792,35.0867,35936,
KAZAFANI.kml,KAZAFANI,2,207,2207,KAZAFANI,ΚΑΖΑΦΑΝΙ,1,806,33.3536,35.3245,32870,
KAZIVERA.kml,KAZIVERA,1,352,1352,KAZIVERA,ΚΑΖΙΒΕΡΑ,1,369,32.9153,35.1718,16358,
KEDARES.kml,KEDARES,6,213,6213,KEDARES,ΚΕΔΑΡΕΣ,1,551,32.7276,34.8297,23223,
KELLAKI.kml,KELLAKI,5,136,5136,KELLAKI,ΚΕΛΛΑΚΙ,1,536,33.1573,34.8203,22654,
KELOKEDARA.kml,KELOKEDARA,6,210,6210,KELOKEDARA,ΚΕΛΟΚΕΔΑΡΑ,1,687,32.6448,34.8048,28392,
KIADOS_TZIAOS.kml,KIADOS (TZIAOS),3,236,3236,KIADOS (TZIAOS),ΚΙΑΔΟΣ (ΤΖΙΑΟΣ),1,1202,33.6039,35.2615,47857,
KIDASI.kml,KIDASI,6,212,6212,KIDASI,ΚΙΔΑΣΙ,1,516,32.7143,34.8144,21894,
KIOMOURTZOU.kml,KIOMOURTZOU,2,113,2113,KIOMOURTZOU,ΚΙΟΜΟΥΡΤΖΟΥ,1,326,33.2587,35.287,14742,
KIONELI.kml,KIONELI,1,251,1251,KIONELI,ΚΙΟΝΕΛΙ,1,1155,33.2929,35.2249,46053,
KIOS.kml,KIOS,6,316,6316,KIOS,ΚΙΟΣ,1,631,32.5292,34.972,26228,
KISSOUSA.kml,KISSOUSA,5,323,5323,KISSOUSA,ΚΙΣΣΟΥΣΑ,1,322,32.7978,34.8064,14583,
KIVISILI.kml,KIVISILI,4,124,4124,KIVISILI,ΚΙΒΙΣΙΛΙ,1,574,33.5081,34.8267,24098,
KLAVDIA.kml,KLAVDIA,4,126,4126,KLAVDIA,ΚΛΑΥΔΙΑ,1,690,33.5175,34.8921,28466,
KLEPINI.kml,KLEPINI,2,204,2204,KLEPINI,ΚΛΕΠΙΝΗ,1,1465,33.4534,35.3083,57765,
KLIROU.kml,KLIROU,1,209,1209,KLIROU,ΚΛΗΡΟΥ,1,2021,33.1763,35.0127,78752,
KLONARI.kml,KLONARI,5,134,5134,KLONARI,ΚΛΩΝΑΡΙ,1,414,33.1803,34.8289,18057,
KNODARA.kml,KNODARA,3,223,3223,KNODARA,ΚΝΩΔΑΡΑ,1,804,33.6487,35.2658,32756,
KOFINOU.kml,KOFINOU,4,309,4309,KOFINOU,ΚΟΦΙΝΟΥ,1,810,33.4024,34.8337,32995,
KOILANEMOS.kml,KOILANEMOS,3,347,3347,KOILANEMOS,ΚΟΙΛΑΝΕΜΟΣ,1,589,34.1329,35.492,24678,
KOILANI.kml,KOILANI,5,331,5331,KOILANI,ΚΟΙΛΑΝΙ,1,561,32.8536,34.8394,23603,
KOILI.kml,KOILI,6,121,6121,KOILI,ΚΟΙΛΗ,1,917,32.4484,34.8657,37052,
KOILINEIA.kml,KOILINEIA,6,225,6225,KOILINEIA,ΚΟΙΛΙΝΕΙΑ,1,499,32.6454,34.8799,21268,
KOKKINA.kml,KOKKINA,1,464,1464,KOKKINA,ΚΟΚΚΙΝΑ,1,975,32.6031,35.1667,39234,
KOKKINOTRIMITHIA.kml,KOKKINOTRIMITHIA,1,243,1243,KOKKINOTRIMITHIA,ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑ,1,1354,33.2037,35.1585,53553,
KOMA_TOU_GIALOU.kml,KOMA TOU GIALOU,3,340,3340,KOMA TOU GIALOU,ΚΩΜΑ ΤΟΥ ΓΙΑΛΟΥ,1,1204,34.1199,35.425,47928,
KOMI.kml,KOMI,3,336,3336,KOMI,ΚΩΜΗ,1,1402,33.9919,35.4124,55345,
KONTEA.kml,KONTEA,3,201,3201,KONTEA,ΚΟΝΤΕΑ,1,822,33.7273,35.1081,33471,
